report_id,statistics_time,statistics_cycle,item_id,item_name,item_tags,total_click,total_try_on,try_on_conversion_rate,total_favorite,favorite_conversion_rate,heat_level,recommend_operation_strategy,inventory_suggestion,tag_heat_analysis
1,2026-06-01 15:09:03,实时,1,车厘子显白红,纯色,1,1,100.00%,1,100.00%,B级常规款,【常规运营】车厘子显白红表现稳定，建议结合节日/季节主题做限时活动，搭配高热度款组合推荐，关注标签优化空间,标准库存备货，建议保持3-7天安全库存，按需补货,核心标签 '纯色' 表现突出，该类标签款式整体点击1次、试戴1次，建议围绕这些标签做内容营销和场景化推荐
1,2026-06-01 15:09:03,实时,2,豆沙粉棕美拉德,纯色,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】豆沙粉棕美拉德数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '纯色' 暂未产生足够数据，建议优化标签准确性并提升曝光
1,2026-06-01 15:09:03,实时,3,裸色奶茶,纯色,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】裸色奶茶数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '纯色' 暂未产生足够数据，建议优化标签准确性并提升曝光
1,2026-06-01 15:09:03,实时,4,镜面水光粉,"纯色,镜面",0,0,0.00%,0,0.00%,C级冷门款,【观察调整】镜面水光粉数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,"标签 '纯色, 镜面' 暂未产生足够数据，建议优化标签准确性并提升曝光"
1,2026-06-01 15:09:03,实时,5,雾霾蓝,纯色,1,1,100.00%,1,100.00%,B级常规款,【常规运营】雾霾蓝表现稳定，建议结合节日/季节主题做限时活动，搭配高热度款组合推荐，关注标签优化空间,标准库存备货，建议保持3-7天安全库存，按需补货,核心标签 '纯色' 表现突出，该类标签款式整体点击1次、试戴1次，建议围绕这些标签做内容营销和场景化推荐
1,2026-06-01 15:09:03,实时,6,焦糖拿铁,纯色,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】焦糖拿铁数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '纯色' 暂未产生足够数据，建议优化标签准确性并提升曝光
1,2026-06-01 15:09:03,实时,7,甜橘汽水,纯色,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】甜橘汽水数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '纯色' 暂未产生足够数据，建议优化标签准确性并提升曝光
1,2026-06-01 15:09:03,实时,8,豆沙粉,纯色,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】豆沙粉数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '纯色' 暂未产生足够数据，建议优化标签准确性并提升曝光
1,2026-06-01 15:09:03,实时,9,金属银,"纯色,镜面",0,0,0.00%,0,0.00%,C级冷门款,【观察调整】金属银数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,"标签 '纯色, 镜面' 暂未产生足够数据，建议优化标签准确性并提升曝光"
1,2026-06-01 15:09:03,实时,10,法式白边,法式,0,0,0.00%,0,0.00%,C级冷门款,【观察调整】法式白边数据偏低，建议检查款式标签准确性，优化缩略图质量，尝试调整价格策略或捆绑热门款推荐,低库存维持，建议保持1-3天安全库存或按单生产，避免积压,标签 '法式' 暂未产生足够数据，建议优化标签准确性并提升曝光
