item_id,item_name,style_label,color_label,length_label,nail_shape_label,scene_label,skin_label,nail_modify_label,hand_label,price_tier,raw_img_path
1,燕麦裸色方圆甲,纯色,"燕麦,裸色",短款,方圆甲,"日常,职场,极简",不挑肤色,"短甲友好,宽甲修饰,扁平甲优化","匀称手,肉肉手,短粗手",引流款,raw_images/img_001.webp
2,橄榄奶白奶茶跳色甲,"跳色,纯色","橄榄绿,奶白,奶茶",中长款,方圆甲,"日常,职场,极简","黄皮显白,中性皮适配","短甲友好,宽甲修饰,扁平甲优化","匀称手,肉肉手,短粗手",常规款,raw_images/img_002.webp
3,黑粉棋盘格甜酷甲,"棋盘格,跳色,甜酷","黑色,粉色",短款,方圆甲,"学生,约会,辣妹","黄皮显白,橄榄皮适配","短甲友好,宽甲修饰,薄软甲友好","匀称手,肉肉手,短粗手",常规款,raw_images/img_003.webp
4,银灰魔镜粉极简甲,"魔镜粉,跳色,细闪","银色,灰色",短款,方圆甲,"日常,职场,辣妹","冷白皮适配,中性皮适配","短甲友好,宽甲修饰,扁平甲优化","匀称手,肉肉手,短粗手",常规款,raw_images/img_004.webp
5,奶牛纹法式甲,"奶牛纹,法式","奶白,黑色,裸色",短款,方圆甲,"日常,学生,极简",不挑肤色,"短甲友好,宽甲修饰,上翘甲适配","匀称手,肉肉手,短粗手",常规款,raw_images/img_005.webp
6,裸色爱心钻饰渐变甲,"渐变,钻饰,细闪",裸色,长款,梯形甲,"约会,婚礼,节日","黄皮显白,中性皮适配","扁平甲优化,下勾甲修饰,薄软甲友好","修长手,尖锥手,骨节手",利润款,raw_images/img_006.webp
7,银闪豹纹杏仁甲,"豹纹,细闪","银色,裸色",长款,杏仁甲,"约会,节日,辣妹","冷白皮适配,橄榄皮适配","扁平甲优化,下勾甲修饰","修长手,尖锥手,骨节手",利润款,raw_images/img_007.webp
8,黑裸法式钻饰轻奢甲,"法式,钻饰","黑色,裸色,银色",长款,杏仁甲,"约会,婚礼,节日","冷白皮适配,黑皮友好","扁平甲优化,上翘甲适配","修长手,尖锥手,骨节手",利润款,raw_images/img_008.webp
9,黑星星甜酷甲,"星星,碎钻,纯色,甜酷","黑色,裸色,银色",中长款,杏仁甲,"学生,约会,辣妹","黄皮显白,中性皮适配","扁平甲优化,薄软甲友好","修长手,尖锥手,骨节手",常规款,raw_images/img_009.webp
10,裸色星星甜酷甲,"星星,碎钻,细闪,甜酷","裸色,奶白,银色",中长款,梯形甲,"约会,节日,辣妹","黄皮显白,橄榄皮适配","扁平甲优化,下勾甲修饰","修长手,尖锥手,骨节手",常规款,raw_images/img_010.webp
11,清透裸色碎花温柔甲,"碎花,细闪","裸色,透色,奶白,银色",长款,杏仁甲,"约会,婚礼,节日","黄皮显白,中性皮适配","扁平甲优化,下勾甲修饰,薄软甲友好","修长手,尖锥手,骨节手",利润款,raw_images/img_011.webp
12,黑花法式复古甲,"法式,花卉,纯色,复古","裸色,黑色,金色",长款,杏仁甲,"约会,辣妹,节日","黄皮显白,橄榄皮适配","扁平甲优化,下勾甲修饰","修长手,尖锥手,骨节手",利润款,raw_images/img_012.webp
13,奶白碎钻渐变甲,"渐变,碎钻,细闪","奶白,裸色,银色",长款,梯形甲,"约会,极简,职场","冷白皮适配,中性皮适配","扁平甲优化,上翘甲适配","匀称手,修长手,骨节手",常规款,raw_images/img_013.webp
14,裸透猫眼渐变杏仁甲,"猫眼,渐变,纯欲","裸色,奶白",长款,杏仁甲,"约会,极简,日常","黄皮显白,不挑肤色","扁平甲优化,下勾甲修饰","修长手,尖锥手,骨节手",常规款,raw_images/img_014.webp
15,彩点格纹撞色复古甲,"格子,波点,花朵,撞色,复古","橘色,粉色,蓝色",短款,圆甲,"学生,日常,休闲","黄皮显白,不挑肤色","短甲友好,宽甲修饰,扁平甲优化","匀称手,肉肉手,短粗手",常规款,raw_images/img_015.webp
16,春日彩点渐变甲,"波点,渐变,细闪","奶白,裸色,粉色",短款,方圆甲,"日常,休闲,学生","黄皮显白,不挑肤色","短甲友好,宽甲修饰,扁平甲优化","匀称手,肉肉手,短粗手",常规款,raw_images/img_016.webp
17,奶白法式珍珠钻饰轻奢甲,"法式,珍珠,钻饰","奶白,裸色,透色,银色",长款,梯形甲,"约会,婚礼,极简","冷白皮适配,中性皮适配","扁平甲优化,上翘甲适配","匀称手,修长手,骨节手",利润款,raw_images/img_017.webp
18,裸透彩钻甜酷甲,"撞色,钻饰,复古,甜酷","裸色,蓝色,红色",中长款,方圆甲,"约会,日常,辣妹","黄皮显白,冷白皮适配","短甲友好,宽甲修饰,扁平甲优化","匀称手,肉肉手,短粗手",常规款,raw_images/img_018.webp
19,香槟碎钻轻奢甲,"渐变,碎钻,细闪,轻奢","金色,裸色",长款,杏仁甲,"约会,婚礼,节日","黄皮显白,中性皮适配","扁平甲优化,下勾甲修饰,薄软甲友好","修长手,尖锥手,骨节手",利润款,raw_images/img_019.webp
20,豹纹碎钻甜酷甲,"豹纹,碎钻,细闪","裸色,银色",长款,杏仁甲,"约会,辣妹,节日","黄皮显白,冷白皮适配","扁平甲优化,下勾甲修饰","修长手,尖锥手,骨节手",利润款,raw_images/img_020.webp
21,焦糖雾霾蓝晕染轻奢甲,"法式,渐变,碎钻,轻奢","焦糖色,裸色,蓝色",短款,方圆甲,"日常,职场,极简","黄皮显白,中性皮适配","短甲友好,宽甲修饰,扁平甲优化","匀称手,肉肉手,短粗手",常规款,raw_images/img_021.webp
